# {"t_start": 1709535734.5871933, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,917,17.920923
-20.0,1082,26.659524
-19.0,1003,34.483698
-21.0,823,41.52476
-21.0,849,47.755946
-21.0,793,55.691192
-20.0,836,62.129786
-21.0,893,69.077037
-20.0,1005,76.758322
-20.0,910,83.519011
-21.0,838,90.216851
-19.0,944,97.108965
-21.0,790,105.32938
-20.0,949,111.858201
-20.0,961,119.750632
-19.0,977,127.337886
-20.0,934,134.190042
-21.0,787,140.409046
-20.0,1044,148.307824
-20.0,952,155.898761
-21.0,875,162.131067
-19.0,1007,170.227151
-21.0,841,175.908948
-21.0,877,183.086645
-20.0,912,190.062258
-18.0,1064,198.617887
-19.0,1007,208.661045
-20.0,831,214.734378
-19.0,931,222.299575
-20.0,887,228.526941
-17.0,1212,237.861409
-18.0,1099,246.8217
-21.0,825,252.546406
-19.0,1124,261.501978
-17.0,1314,271.705295
-19.0,1185,280.692638
-21.0,968,288.07504
-18.0,1236,297.944397
-15.0,1437,308.979876
-19.0,1251,317.853453
-18.0,1147,327.011422
-19.0,1281,337.189077
-20.0,1070,344.895324
-18.0,1542,356.936512
-14.0,1572,369.136101
-16.0,1396,379.791315
-13.0,1666,392.551799
-19.0,1329,402.944968
-10.0,1864,416.97753
-21.0,1012,425.217388
-16.0,1438,436.205279
-2.0,2238,453.626161
-17.0,1660,466.482601
-12.0,1798,480.218766
-4.0,2188,496.639154
-1.0,2322,515.345844
-15.0,1378,525.612213
-4.0,2129,542.452944
-8.0,1856,556.696505
-3.0,2218,573.696959
-10.0,1742,587.398554
-6.0,2064,604.035761
-11.0,1683,617.134928
-5.0,2097,633.288045
-6.0,2015,648.707532
-6.0,2054,664.482736
-2.0,2392,683.725827
-9.0,1828,697.704385
-10.0,1809,711.546456
-8.0,1994,726.814138
-4.0,2136,742.782631
-1.0,2332,761.663293
-2.0,2293,779.082171
-5.0,2054,794.633006
-10.0,1957,810.033325
-11.0,1711,823.402568
-11.0,1770,837.192757
-7.0,2052,852.801729
-1.0,2428,871.202165
-7.0,1997,887.033213
-13.0,1550,898.657747
-7.0,2165,915.745093
-4.0,2273,932.688809
1.0,2643,953.615043
-6.0,2400,971.697762
-6.0,2725,992.751463
-9.0,2381,1010.725641
-12.0,1999,1025.665158
2.0,3172,1049.568223
12.0,2381,1068.184563
14.0,2333,1085.519481
11.0,2388,1102.653259
20.0,2004,1118.49588
19.0,2139,1134.81771
12.0,2452,1152.955526
13.0,2783,1174.339264
19.0,2104,1189.780585
17.0,2247,1206.840969
17.0,2253,1223.845342
11.0,2768,1244.431765
17.0,2186,1261.701935
19.0,2160,1277.924275
20.0,2050,1293.322578
20.0,2073,1308.83223
19.0,2126,1325.46762
13.0,2295,1342.515438
8.0,2708,1363.442331
20.0,2170,1379.599925
15.0,2232,1396.349185
19.0,2127,1412.433362
20.0,2105,1428.880208
20.0,2073,1444.192985
19.0,2203,1460.291027
7.0,2759,1481.485595
18.0,2243,1497.893055
19.0,2145,1514.241748
19.0,2144,1531.070052
19.0,2178,1547.218389
20.0,2069,1562.47674
15.0,2410,1581.099997
19.0,2151,1596.884431
9.0,2923,1619.215724
10.0,2929,1640.669042
20.0,2107,1657.30883
15.0,2295,1674.29142
16.0,2485,1692.359445
20.0,2072,1708.449065
19.0,2099,1724.024635
-2.0,2925,1746.17555
20.0,2108,1762.174503
9.0,2617,1781.082621
-3.0,2745,1802.220639
14.0,2537,1820.565141
18.0,2230,1838.3377
18.0,2184,1854.413266
7.0,2649,1874.921562
-21.0,872,1880.728788
19.0,2268,1897.588596
20.0,2166,1914.960855
3.0,2726,1934.793039
15.0,2418,1953.577276
17.0,2176,1969.64694
14.0,2151,1985.677339
11.0,2378,2003.907031
15.0,1994,2018.673667
11.0,2364,2035.963292
20.0,1617,2048.285255
20.0,1665,2060.82056
19.0,2138,2076.582443
20.0,1646,2089.053505
10.0,2649,2108.910704
20.0,1731,2122.052213
-1.0,3527,2148.117063
18.0,1770,2161.434335
17.0,1718,2174.182931
20.0,1615,2186.219447
20.0,2036,2201.310447
20.0,2095,2217.103956
17.0,1814,2231.224807
20.0,1619,2242.79314
-6.0,2734,2263.749635
18.0,1717,2276.58135
-6.0,2215,2292.844513
15.0,1901,2307.228356
5.0,2625,2327.682034
19.0,1654,2339.796068
20.0,1616,2352.041682
18.0,1749,2365.334995
18.0,1755,2378.303698
20.0,2096,2394.179338
20.0,2074,2409.675314
8.0,2432,2428.437211
19.0,1732,2441.259207
20.0,1663,2453.799401
13.0,1916,2468.024769
18.0,1753,2481.252542
19.0,2109,2496.935794
20.0,1615,2508.960985
-10.0,2309,2526.988048
20.0,2067,2542.404864
18.0,1750,2555.488693
15.0,2210,2571.67272
20.0,2002,2586.685872
20.0,1619,2598.661285
20.0,2006,2613.803575
-21.0,822,2620.661858
19.0,2045,2635.667845
20.0,1618,2647.876415
20.0,2073,2663.029033
19.0,1761,2676.369594
18.0,2104,2692.312432
16.0,1827,2706.497015
20.0,1617,2718.104148
8.0,2570,2736.960714
20.0,1615,2749.376515
19.0,2246,2766.161652
20.0,1615,2778.020197
20.0,2038,2793.222958
20.0,1613,2805.407453
-2.0,2607,2825.245644
-9.0,1868,2839.291458
4.0,2628,2859.176545
20.0,1618,2871.082623
-2.0,3506,2897.573241
15.0,1911,2911.80253
20.0,2095,2927.262573
16.0,1820,2941.212337
11.0,2665,2961.280082
19.0,2117,2977.094865
20.0,2086,2992.404422
18.0,1803,3005.879899
20.0,2007,3020.762157
16.0,2423,3039.597887
19.0,1747,3052.362372
17.0,2290,3069.153495
7.0,2878,3091.262438
-20.0,917,3097.720115
20.0,1566,3109.426669
17.0,2202,3126.051429
17.0,1873,3141.075505
20.0,1608,3153.264691
20.0,1613,3165.549213
20.0,1618,3177.828558
19.0,1711,3190.564566
18.0,1734,3203.789954
20.0,1615,3215.173664
20.0,2040,3231.190238
20.0,2127,3247.182516
20.0,1614,3259.05747
20.0,1616,3271.289068
20.0,2073,3286.526766
20.0,2069,3301.824313
18.0,1884,3315.828707
20.0,2094,3331.84855
20.0,1617,3343.963148
19.0,2107,3360.303617
19.0,1716,3373.487007
18.0,1835,3387.109933
20.0,1614,3399.567444
20.0,1617,3411.639442
19.0,1744,3424.898809
20.0,2070,3440.134372
18.0,1750,3453.471252
20.0,1617,3465.603269
20.0,1619,3477.868607
20.0,2129,3493.912159
20.0,2070,3509.376749
20.0,1614,3521.485861
20.0,2070,3537.839115
5.0,3104,3560.832829
20.0,2074,3576.936252
20.0,1614,3588.975996
20.0,2074,3604.569265
18.0,1842,3618.2185
20.0,2067,3633.366261
20.0,1615,3645.768977
20.0,1615,3657.981276
16.0,2343,3675.633768
20.0,2068,3692.162895
20.0,2067,3707.432221
19.0,2135,3724.054655
20.0,1637,3736.512248
1.0,3354,3762.46716
17.0,1971,3777.248098
20.0,1706,3790.043723
17.0,1841,3804.368819
